timestamp,linear_accleration_x,linear_accleration_y,linear_accleration_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1676106689.667974,-8.51,3.22,3.97,0.07,-0.14,0.02
1676106689.7466214,-8.53,3.19,3.92,0.07,-0.14,0.01
1676106689.790037,-8.53,3.22,3.93,0.07,-0.14,0.02
1676106689.8234158,-8.54,3.18,3.97,0.07,-0.14,0.02
1676106689.867581,-8.54,3.23,3.95,0.06,-0.14,0.01
1676106689.916794,-8.57,3.19,3.97,0.07,-0.14,0.01
1676106689.947712,-8.52,3.2,3.96,0.07,-0.14,0.03
1676106689.985237,-8.55,3.22,3.99,0.07,-0.13,0.01
1676106690.0603242,-8.53,3.23,3.98,0.07,-0.14,0.01
1676106690.1042476,-8.56,3.18,3.96,0.06,-0.14,0.01
1676106690.1417768,-8.53,3.16,4.02,0.06,-0.14,0.02
1676106690.1969376,-8.56,3.17,3.98,0.07,-0.14,0.02
1676106690.2286274,-8.51,3.23,3.97,0.07,-0.14,0.02
1676106690.256804,-8.54,3.18,3.99,0.07,-0.13,0.01
1676106690.282509,-8.56,3.23,3.95,0.07,-0.14,0.01
1676106690.3148894,-8.54,3.17,3.94,0.06,-0.13,0.01
1676106690.351966,-8.51,3.23,4.02,0.07,-0.14,0.02
1676106690.377457,-8.54,3.18,4.08,0.06,-0.13,0.01
1676106690.4009144,-8.52,3.21,3.91,0.06,-0.14,0.02
1676106690.4598691,-8.54,3.17,3.97,0.06,-0.14,0.01
1676106690.4832363,-8.53,3.18,3.95,0.07,-0.13,0.01
1676106690.512247,-8.52,3.17,3.89,0.06,-0.13,0.02
1676106690.5351498,-8.57,3.2,3.94,0.07,-0.14,0.01
1676106690.560043,-8.53,3.23,3.92,0.07,-0.15,0.01
1676106690.5834267,-8.56,3.22,3.95,0.07,-0.13,0.01
1676106690.6066968,-8.57,3.22,4.0,0.07,-0.13,0.01
1676106690.652155,-8.59,3.19,4.02,0.07,-0.13,0.02
1676106690.6831822,-8.55,3.2,4.04,0.07,-0.14,0.01
1676106690.7538066,-8.52,3.21,3.98,0.07,-0.14,0.02
1676106690.7772472,-8.55,3.17,3.93,0.07,-0.13,0.01
1676106690.8031695,-8.54,3.18,3.99,0.07,-0.14,0.02
1676106690.8285296,-8.54,3.19,3.92,0.07,-0.14,0.02
1676106690.8555105,-8.55,3.19,3.96,0.07,-0.13,0.01
1676106690.88368,-8.55,3.17,4.03,0.07,-0.13,0.01
1676106690.906574,-8.58,3.18,3.9,0.07,-0.13,0.02
1676106690.9355495,-8.54,3.2,4.01,0.07,-0.14,0.01
1676106690.9656088,-8.55,3.17,3.93,0.07,-0.13,0.02
1676106690.9928129,-8.57,3.21,3.94,0.07,-0.13,0.01
1676106691.050524,-8.54,3.2,4.0,0.07,-0.14,0.0
1676106691.0709138,-8.54,3.24,3.96,0.07,-0.13,0.01
1676106691.0996568,-8.55,3.16,3.95,0.07,-0.13,0.02
1676106691.128772,-8.56,3.18,3.96,0.07,-0.14,0.02
1676106691.1680398,-8.54,3.23,3.99,0.07,-0.14,0.01
1676106691.1901493,-8.49,3.19,3.9,0.07,-0.14,0.01
1676106691.2141678,-8.59,3.23,3.95,0.07,-0.13,0.02
1676106691.2393138,-8.58,3.2,3.94,0.07,-0.13,0.01
1676106691.2666569,-8.55,3.21,3.96,0.07,-0.13,0.0
1676106691.294135,-8.55,3.18,3.93,0.07,-0.13,0.02
1676106691.3538032,-8.54,3.2,3.93,0.07,-0.14,0.01
1676106691.3785484,-8.54,3.17,3.94,0.07,-0.14,0.01
1676106691.3983624,-8.6,3.22,3.97,0.07,-0.13,0.01
1676106691.4213634,-8.58,3.19,3.94,0.07,-0.13,0.02
1676106691.4500787,-8.59,3.15,3.99,0.06,-0.14,0.01
1676106691.4969094,-8.52,3.18,4.01,0.06,-0.14,0.02
1676106691.5566435,-8.51,3.18,3.97,0.06,-0.14,0.01
1676106691.5949318,-8.54,3.2,3.87,0.06,-0.14,0.01
1676106691.653617,-8.52,3.19,3.96,0.07,-0.14,0.02
1676106691.6828787,-8.55,3.2,3.95,0.07,-0.14,0.02
1676106691.7163198,-8.52,3.19,3.97,0.07,-0.14,0.02
1676106691.7425504,-8.55,3.18,3.97,0.07,-0.13,0.01
1676106691.766141,-8.5,3.22,4.02,0.07,-0.13,0.02
1676106691.7901764,-8.56,3.22,3.98,0.06,-0.13,0.01
1676106691.814115,-8.55,3.18,3.92,0.07,-0.13,0.01
1676106691.8466835,-8.53,3.17,3.96,0.07,-0.14,0.01
1676106691.8814795,-8.51,3.18,3.92,0.06,-0.13,0.01
1676106691.9607987,-8.54,3.19,3.91,0.07,-0.13,0.01
1676106691.985109,-8.54,3.18,4.06,0.07,-0.13,0.02
1676106692.012421,-8.54,3.21,3.98,0.07,-0.13,0.01
1676106692.0342548,-8.53,3.24,3.94,0.08,-0.15,0.05
1676106692.071837,-8.53,3.22,3.94,0.09,-0.15,0.1
1676106692.1064658,-8.52,3.2,4.07,0.08,-0.14,0.05
1676106692.133132,-8.56,3.1,3.91,0.1,-0.13,0.1
1676106692.1618135,-8.33,3.39,4.09,0.11,-0.07,0.05
1676106692.187386,-8.54,3.11,4.07,0.07,-0.07,0.14
1676106692.2132795,-8.56,3.19,3.95,0.07,-0.06,0.22
1676106692.265907,-8.76,3.28,3.89,0.1,0.02,0.36
1676106692.2985053,-10.88,2.7,5.18,-0.09,0.46,0.76
1676106692.3309014,-16.2,4.79,5.11,-0.01,0.09,-0.52
1676106692.36193,-15.73,4.82,5.46,-0.36,-0.96,-0.59
1676106692.390687,-13.36,4.16,5.04,-0.32,-1.18,0.43
1676106692.4128802,-13.41,4.39,5.25,0.05,-1.49,1.01
1676106692.440865,-13.58,5.35,6.11,-0.07,-1.6,1.09
1676106692.465994,-15.44,4.03,5.96,-0.32,-2.27,1.11
1676106692.4941683,-13.24,3.06,5.98,-0.28,-2.79,0.99
1676106692.5159762,-13.22,2.67,6.19,-0.36,-3.42,0.75
1676106692.5729887,-11.77,1.65,6.07,-0.34,-3.89,0.66
1676106692.6021352,-11.67,2.09,6.29,-0.39,-4.28,0.35
1676106692.6349306,-8.05,1.59,5.14,-0.85,-4.36,-0.37
1676106692.662715,-8.21,0.3,4.6,-0.91,-4.36,-0.61
1676106692.6916137,-1.9,-0.86,1.79,-0.83,-4.36,-0.95
1676106692.7176192,-0.96,-1.35,0.23,-0.63,-4.36,-1.02
1676106692.743276,1.43,-0.68,-2.92,-0.41,-4.36,-0.58
1676106692.7677505,3.68,-0.86,-4.64,-0.21,-3.96,-0.69
1676106692.7926412,4.39,0.04,-6.8,-0.1,-3.02,-0.26
1676106692.8307748,4.94,-0.23,-7.95,0.13,-2.46,-0.24
1676106692.8876576,3.4,1.4,-8.68,0.04,-1.97,0.12
1676106692.9131842,3.0,2.45,-9.38,0.08,-0.9,0.14
1676106692.9373374,1.72,2.38,-9.42,0.06,-0.25,0.11
1676106692.9638455,0.87,1.37,-9.61,-0.07,-0.06,0.1
1676106692.9882789,-0.35,0.89,-9.81,-0.03,0.12,0.05
1676106693.0186243,-1.28,0.87,-9.78,0.07,0.08,0.16
1676106693.054585,-1.12,1.18,-9.5,0.13,0.08,0.13
1676106693.0852628,-1.58,1.53,-9.25,0.07,0.1,-0.03
1676106693.113155,-2.18,1.25,-9.25,0.01,0.06,0.02
1676106693.1597445,-2.4,1.05,-9.07,0.1,-0.1,0.12
1676106693.202896,-1.94,1.5,-8.94,0.12,-0.07,-0.02
1676106693.227478,-2.05,1.33,-8.98,0.14,0.04,-0.12
1676106693.2538068,-2.51,1.81,-8.69,0.21,-0.14,-0.02
1676106693.2780735,-2.02,2.22,-8.46,0.15,-0.09,-0.13
1676106693.316402,-2.04,2.91,-8.53,-0.11,0.08,-0.33
1676106693.3423176,-3.1,2.74,-8.87,-0.27,-0.09,-0.1
1676106693.3688877,-2.09,1.03,-9.68,-0.06,-0.3,0.16
1676106693.4045022,-1.51,0.95,-9.77,0.01,-0.22,-0.03
1676106693.430874,-1.73,0.89,-9.61,0.14,-0.09,-0.09
1676106693.4795158,-2.2,1.81,-8.99,0.13,-0.15,0.14
1676106693.507728,-1.15,1.42,-9.29,0.16,-0.07,0.03
1676106693.5331044,-1.73,1.8,-8.93,0.24,0.01,0.06
1676106693.5648694,-1.99,2.39,-8.45,0.14,-0.02,0.05
1676106693.588191,-2.37,2.09,-8.74,-0.0,-0.06,0.09
1676106693.6176467,-2.07,1.38,-9.19,0.03,-0.03,0.05
1676106693.6484847,-2.41,1.25,-9.21,0.1,-0.02,0.01
1676106693.6747725,-2.69,1.81,-8.94,0.1,-0.13,0.0
1676106693.7019007,-1.99,1.76,-9.06,0.04,-0.13,0.03
